Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
El Salvador,Americas,61814,953.01,1323,20.4,137,1935,29.83,48,0.74,6,Community transmission
Singapore,Western Pacific,60070,1026.78,72,1.23,8,29,0.5,0,0,0,Sporadic cases
Cuba,Americas,59157,522.28,5849,51.64,778,361,3.19,25,0.22,-14,Community transmission
Luxembourg,Europe,57056,9114.7,1154,184.35,234,673,107.51,30,4.79,5,Community transmission
Afghanistan,Eastern Mediterranean,55959,143.75,132,0.34,42,2454,6.3,5,0.01,3,Clusters of cases
Uganda,Africa,40520,88.59,112,0.24,30,334,0.73,0,0,0,Community transmission
Namibia,Africa,40451,1591.99,1154,45.42,114,448,17.63,14,0.55,4,Community transmission
Cameroon,Africa,38988,146.87,3274,12.33,0,588,2.22,37,0.14,0,Community transmission
Cyprus,Europe,38065,3152.75,2445,202.51,415,235,19.46,3,0.25,2,Clusters of cases
Zimbabwe,Africa,36341,244.51,162,1.09,20,1489,10.02,11,0.07,0,Community transmission
Senegal,Africa,36195,216.17,1158,6.92,236,935,5.58,39,0.23,10,Community transmission
Côte d’Ivoire,Africa,36028,136.58,2743,10.4,697,206,0.78,12,0.05,2,Community transmission
Botswana,Africa,32912,1399.54,2185,92.91,0,413,17.56,81,3.44,0,Community transmission
Malawi,Africa,32614,170.49,385,2.01,86,1077,5.63,21,0.11,3,Community transmission
Sudan,Eastern Mediterranean,30873,70.41,333,0.76,53,1940,4.42,45,0.1,11,Community transmission
Australia,Western Pacific,29090,114.08,88,0.35,15,909,3.56,0,0,0,Clusters of cases
Jamaica,Americas,28968,978.26,4524,152.78,695,475,16.04,39,1.32,12,Community transmission
Democratic Republic of the Congo,Africa,26737,29.85,491,0.55,111,712,0.79,1,0,0,Community transmission
Thailand,South-East Asia,26679,38.22,438,0.63,81,85,0.12,0,0,0,Clusters of cases
Malta,Europe,25357,5742.82,2131,482.63,510,337,76.32,16,3.62,2,Clusters of cases
Maldives,South-East Asia,21268,3934.55,821,151.88,124,64,11.84,0,0,0,Clusters of cases
Angola,Africa,21161,64.39,238,0.72,47,516,1.57,6,0.02,0,Community transmission
Madagascar,Africa,20155,72.79,324,1.17,0,300,1.08,3,0.01,0,Community transmission
Rwanda,Africa,19846,153.22,648,5,67,271,2.09,6,0.05,1,Community transmission
Mayotte,Africa,18604,6819.27,1004,368.01,191,129,47.28,19,6.96,0,Community transmission
French Polynesia,Western Pacific,18517,6591.84,58,20.65,8,141,50.19,1,0.36,0,Sporadic cases
Mauritania,Africa,17385,373.9,133,2.86,20,442,9.51,0,0,0,Community transmission
Guinea,Africa,17208,131.03,1054,8.03,296,101,0.77,10,0.08,4,Community transmission
Eswatini,Africa,17203,1482.81,100,8.62,12,658,56.72,6,0.52,0,Community transmission
French Guiana,Americas,16693,5588.89,66,22.1,0,87,29.13,2,0.67,0,Community transmission
Gabon,Africa,16313,732.93,1059,47.58,298,93,4.18,5,0.22,2,Community transmission
Syrian Arab Republic,Eastern Mediterranean,16257,92.89,442,2.53,70,1085,6.2,35,0.2,6,Community transmission
Cabo Verde,Africa,15892,2858.34,334,60.07,66,155,27.88,5,0.9,1,Community transmission
Réunion,Africa,13801,1541.47,676,75.5,0,71,7.93,12,1.34,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12632,110.78,96,0.84,38,251,2.2,1,0.01,0,Community transmission
Belize,Americas,12355,3107.18,27,6.79,10,316,79.47,2,0.5,0,Community transmission
Burkina Faso,Africa,12230,58.51,159,0.76,43,143,0.68,0,0,0,Community transmission
Andorra,Europe,11130,14404.97,182,235.55,41,112,144.96,0,0,0,Community transmission
Lesotho,Africa,10525,491.31,30,1.4,2,309,14.42,14,0.65,1,Community transmission
Guadeloupe,Americas,10458,2613.69,490,122.46,0,168,41.99,4,1,0,Community transmission
Congo,Africa,9329,169.06,150,2.72,0,131,2.37,0,0,0,Community transmission
South Sudan,Africa,9092,81.22,678,6.06,222,102,0.91,2,0.02,0,Community transmission
Suriname,Americas,8990,1532.48,37,6.31,5,175,29.83,2,0.34,0,Clusters of cases
Guyana,Americas,8928,1135.08,280,35.6,81,205,26.06,6,0.76,1,Clusters of cases
Somalia,Eastern Mediterranean,8820,55.5,970,6.1,107,338,2.13,64,0.4,11,Community transmission
Mali,Africa,8739,43.15,293,1.45,29,358,1.77,1,0,0,Community transmission
Bahamas,Americas,8658,2201.69,58,14.75,0,185,47.04,4,1.02,0,Clusters of cases
Aruba,Americas,8227,7705.64,254,237.9,50,77,72.12,2,1.87,0,Community transmission
Trinidad and Tobago,Americas,7743,553.27,20,1.43,7,140,10,1,0.07,0,Community transmission
Togo,Africa,7737,93.46,549,6.63,57,92,1.11,7,0.08,0,Community transmission
Guam,Western Pacific,7548,4472.23,10,5.93,2,133,78.8,2,1.19,0,Clusters of cases
Martinique,Americas,6886,1834.97,140,37.31,0,47,12.52,2,0.53,0,Community transmission
Benin,Africa,6501,53.62,430,3.55,-3,81,0.67,6,0.05,0,Community transmission
Equatorial Guinea,Africa,6371,454.1,161,11.48,0,96,6.84,3,0.21,0,Community transmission
Djibouti,Eastern Mediterranean,6234,630.97,124,12.55,7,63,6.38,0,0,0,Community transmission
Iceland,Europe,6069,1778.5,11,3.22,2,29,8.5,0,0,0,Community transmission
Nicaragua,Americas,5216,78.74,40,0.6,0,175,2.64,1,0.02,0,Community transmission
Central African Republic,Africa,5021,103.96,24,0.5,0,63,1.3,0,0,0,Community transmission
Curaçao,Americas,4862,2962.95,122,74.35,32,22,13.41,0,0,0,Community transmission
Gambia,Africa,4851,200.73,116,4.8,92,153,6.33,2,0.08,1,Community transmission
Niger,Africa,4848,20.03,108,0.45,19,179,0.74,7,0.03,2,Community transmission
Gibraltar,Europe,4255,12629.49,12,35.62,6,93,276.04,0,0,0,Clusters of cases
Chad,Africa,4231,25.76,175,1.07,17,149,0.91,9,0.05,5,Community transmission
San Marino,Europe,4062,11968.88,233,686.55,32,77,226.88,2,5.89,0,Community transmission
Saint Lucia,Americas,3941,2146.2,138,75.15,39,47,25.6,8,4.36,1,Community transmission
Sierra Leone,Africa,3928,49.24,28,0.35,6,79,0.99,0,0,0,Community transmission
Comoros,Africa,3611,415.25,31,3.56,0,146,16.79,2,0.23,0,Community transmission
Mongolia,Western Pacific,3561,108.62,485,14.79,80,4,0.12,2,0.06,1,Clusters of cases
Barbados,Americas,3353,1166.77,190,66.12,20,37,12.88,0,0,0,Community transmission
Guinea-Bissau,Africa,3327,169.05,45,2.29,8,51,2.59,3,0.15,2,Community transmission
Jersey,Europe,3222,2961.4,4,3.68,2,69,63.42,0,0,0,Community transmission
Seychelles,Africa,3000,3050.42,151,153.54,11,14,14.24,3,3.05,0,Community transmission
Eritrea,Africa,2988,84.25,96,2.71,44,7,0.2,0,0,0,Community transmission
United States Virgin Islands,Americas,2761,2644,57,54.58,6,25,23.94,0,0,0,Community transmission
Yemen,Eastern Mediterranean,2671,8.96,292,0.98,40,668,2.24,22,0.07,6,Community transmission
Liechtenstein,Europe,2670,7001.08,7,18.35,0,54,141.59,1,2.62,0,Sporadic cases
Viet Nam,Western Pacific,2535,2.6,47,0.05,6,35,0.04,0,0,0,Clusters of cases
Burundi,Africa,2396,20.15,128,1.08,27,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,2190,5656.28,48,123.97,13,15,38.74,1,2.58,0,Clusters of cases
Sint Maarten,Americas,2077,4843.52,16,37.31,1,27,62.96,0,0,0,Community transmission
Monaco,Europe,2062,5254.31,82,208.95,14,26,66.25,0,0,0,Sporadic cases
New Zealand,Western Pacific,2061,42.74,28,0.58,1,26,0.54,0,0,0,Clusters of cases
Liberia,Africa,2026,40.06,9,0.18,2,85,1.68,0,0,0,Community transmission
Sao Tome and Principe,Africa,2010,917.14,129,58.86,33,32,14.6,2,0.91,0,Community transmission
Papua New Guinea,Western Pacific,1819,20.33,327,3.65,78,21,0.23,5,0.06,0,Community transmission
Saint Vincent and the Grenadines,Americas,1674,1508.92,29,26.14,4,8,7.21,0,0,0,Community transmission
Saint Martin,Americas,1581,4089.6,27,69.84,0,12,31.04,0,0,0,Community transmission
Cambodia,Western Pacific,1225,7.33,293,1.75,62,1,0.01,1,0.01,1,Sporadic cases
Antigua and Barbuda,Americas,882,900.65,113,115.39,20,23,23.49,4,4.08,1,Clusters of cases
Bhutan,South-East Asia,868,112.49,1,0.13,0,1,0.13,0,0,0,Sporadic cases
Isle of Man,Europe,868,1020.79,374,439.83,111,25,29.4,0,0,0,No cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,731,1173.86,13,20.88,7,12,19.27,0,0,0,Sporadic cases
Saint Barthélemy,Americas,671,6788.06,59,596.86,0,0,0,0,0,0,Clusters of cases
Faroe Islands,Europe,660,1350.66,2,4.09,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,641,50.4,22,1.73,0,10,0.79,0,0,0,Sporadic cases
Bonaire,Americas,596,2849.63,156,745.88,35,6,28.69,1,4.78,1,Community transmission
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,460,699.94,12,18.26,0,2,3.04,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,192,43.89,4,0.91,0,3,0.69,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,159,12.06,46,3.49,14,0,0,0,0,0,Clusters of cases
British Virgin Islands,Americas,154,509.31,1,3.31,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,151,209.75,7,9.72,0,0,0,0,0,0,Clusters of cases
Grenada,Americas,151,134.19,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,146,253.66,2,3.47,0,2,3.47,0,0,0,Pending
Wallis and Futuna,Western Pacific,138,1227.1,129,1147.07,4,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,81,28.37,23,8.06,7,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,66,7.36,3,0.33,0,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,48,0.66,3,0.04,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,42,78.96,1,1.88,1,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,2,0.65,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
